Location_x,Location_y,PCI,RSRP,RSRQ,SNR,Location_SC1_x,Location_SC1_y,Location_SC2_x,Location_SC2_y,Location_SC3_x,Location_SC3_y,Location_SC5_x,Location_SC5_y,Power_SC1,Power_SC2,Power_SC3,Power_SC5,file_name,time
731,195,3,-81.3,-6.1,28.8,251,207,480,151,631,209,753,152,19,19,19,19,18Apr13_110903.1.nmf,09:06.1
731,195,3,-82.3,-6.1,28.8,251,207,480,151,631,209,753,152,19,19,19,19,18Apr13_110903.1.nmf,09:05.6
731,195,3,-83.2,-6.1,28.6,251,207,480,151,631,209,753,152,19,19,19,19,18Apr13_110903.1.nmf,09:05.1
731,195,3,-80.6,-6,28,251,207,480,151,631,209,753,152,19,19,19,19,18Apr13_110903.1.nmf,09:04.6
731,195,3,-80.7,-5.9,27.8,251,207,480,151,631,209,753,152,19,19,19,19,18Apr13_110903.1.nmf,09:04.1
731,195,3,-78.4,-5.9,28.4,251,207,480,151,631,209,753,152,19,19,19,19,18Apr13_110903.1.nmf,09:03.6
127,189,1,-102.9,-7.2,15.1,251,207,480,151,631,209,753,152,19,19,19,19,18Apr13_165931.1.nmf,59:40.3
127,189,1,-105.6,-7.3,13.9,251,207,480,151,631,209,753,152,19,19,19,19,18Apr13_165931.1.nmf,59:38.9
127,189,1,-105.9,-6.6,14.8,251,207,480,151,631,209,753,152,19,19,19,19,18Apr13_165931.1.nmf,59:38.7
127,189,1,-107.3,-6.7,14.3,251,207,480,151,631,209,753,152,19,19,19,19,18Apr13_165931.1.nmf,59:36.3
127,189,1,-102.1,-6.8,17.6,251,207,480,151,631,209,753,152,19,19,19,19,18Apr13_165931.1.nmf,59:36.3
127,189,1,-102.1,-6.5,16.5,251,207,480,151,631,209,753,152,19,19,19,19,18Apr13_165931.1.nmf,59:33.9
127,189,1,-101.6,-6.7,19,251,207,480,151,631,209,753,152,19,19,19,19,18Apr13_165931.1.nmf,59:32.7
127,189,1,-103.1,-5.8,20.5,251,207,480,151,631,209,753,152,19,19,19,19,18Apr13_165931.1.nmf,59:31.6
206,118,1,-103.6,-12.9,-1,251,207,480,151,631,209,753,152,19,19,19,19,18Apr13_164409.1.nmf,44:13.5
206,118,1,-100.3,-7.6,9.7,251,207,480,151,631,209,753,152,19,19,19,19,18Apr13_164409.1.nmf,44:12.3
206,118,1,-95.3,-8.4,7.4,251,207,480,151,631,209,753,152,19,19,19,19,18Apr13_164409.1.nmf,44:11.1
206,118,1,-97.4,-9.5,4.3,251,207,480,151,631,209,753,152,19,19,19,19,18Apr13_164409.1.nmf,44:10.9
350,135,2,-103.3,-6.9,18.6,251,207,480,151,631,209,753,152,19,19,19,19,18Apr13_163944.1.nmf,39:49.7
350,135,2,-101.9,-6.6,19.2,251,207,480,151,631,209,753,152,19,19,19,19,18Apr13_163944.1.nmf,39:48.6
350,135,2,-103.1,-7.3,15.7,251,207,480,151,631,209,753,152,19,19,19,19,18Apr13_163944.1.nmf,39:47.1
350,135,2,-104.6,-7.3,16.5,251,207,480,151,631,209,753,152,19,19,19,19,18Apr13_163944.1.nmf,39:47.1
350,135,2,-102.4,-6.8,15.3,251,207,480,151,631,209,753,152,19,19,19,19,18Apr13_163944.1.nmf,39:44.9
764,136,3,-79.2,-5.9,29.7,251,207,480,151,631,209,753,152,19,19,19,19,18Apr13_111228.1.nmf,12:33.1
764,136,3,-80,-5.8,29.1,251,207,480,151,631,209,753,152,19,19,19,19,18Apr13_111228.1.nmf,12:32.6
764,136,3,-80.3,-5.9,29.5,251,207,480,151,631,209,753,152,19,19,19,19,18Apr13_111228.1.nmf,12:32.1
764,136,3,-80.5,-6.1,28.9,251,207,480,151,631,209,753,152,19,19,19,19,18Apr13_111228.1.nmf,12:31.6
764,136,3,-78.9,-6.1,28.7,251,207,480,151,631,209,753,152,19,19,19,19,18Apr13_111228.1.nmf,12:31.1
764,136,3,-81.6,-6.3,28.6,251,207,480,151,631,209,753,152,19,19,19,19,18Apr13_111228.1.nmf,12:30.6
764,136,3,-76.2,-5.4,29.7,251,207,480,151,631,209,753,152,19,19,19,19,18Apr13_111228.1.nmf,12:30.1
764,136,3,-75.1,-5.9,29.4,251,207,480,151,631,209,753,152,19,19,19,19,18Apr13_111228.1.nmf,12:29.6
764,136,3,-81.3,-5.7,29.7,251,207,480,151,631,209,753,152,19,19,19,19,18Apr13_111228.1.nmf,12:29.1
588,255,54,-84.6,-6.5,28.8,251,207,480,151,631,209,753,152,19,19,19,19,18Apr13_162507.1.nmf,25:09.3
588,255,54,-86.1,-6.3,27.6,251,207,480,151,631,209,753,152,19,19,19,19,18Apr13_162507.1.nmf,25:08.3
588,255,54,-86.4,-6.3,19.3,251,207,480,151,631,209,753,152,19,19,19,19,18Apr13_162507.1.nmf,25:07.3
777,179,3,-75.3,-6,30,251,207,480,151,631,209,753,152,19,19,19,19,18Apr13_105935.1.nmf,59:44.7
777,179,3,-75.1,-6.1,30,251,207,480,151,631,209,753,152,19,19,19,19,18Apr13_105935.1.nmf,59:44.2
777,179,3,-75.2,-6.4,30,251,207,480,151,631,209,753,152,19,19,19,19,18Apr13_105935.1.nmf,59:43.7
777,179,3,-74.6,-6.3,30,251,207,480,151,631,209,753,152,19,19,19,19,18Apr13_105935.1.nmf,59:43.2
777,179,3,-74.4,-6.2,30,251,207,480,151,631,209,753,152,19,19,19,19,18Apr13_105935.1.nmf,59:42.7
777,179,3,-75.8,-6.1,30,251,207,480,151,631,209,753,152,19,19,19,19,18Apr13_105935.1.nmf,59:42.2
777,179,3,-76.4,-6,30,251,207,480,151,631,209,753,152,19,19,19,19,18Apr13_105935.1.nmf,59:41.7
777,179,3,-74.2,-5.9,30,251,207,480,151,631,209,753,152,19,19,19,19,18Apr13_105935.1.nmf,59:41.2
777,179,3,-74.9,-6.1,30,251,207,480,151,631,209,753,152,19,19,19,19,18Apr13_105935.1.nmf,59:40.7
777,179,3,-73.4,-6.8,30,251,207,480,151,631,209,753,152,19,19,19,19,18Apr13_105935.1.nmf,59:40.2
777,179,3,-73,-5.9,30,251,207,480,151,631,209,753,152,19,19,19,19,18Apr13_105935.1.nmf,59:39.7
777,179,3,-73.1,-6.1,30,251,207,480,151,631,209,753,152,19,19,19,19,18Apr13_105935.1.nmf,59:39.2
777,179,3,-72.8,-6.1,30,251,207,480,151,631,209,753,152,19,19,19,19,18Apr13_105935.1.nmf,59:38.7
777,179,3,-71.1,-6.4,30,251,207,480,151,631,209,753,152,19,19,19,19,18Apr13_105935.1.nmf,59:38.2
