location_x,location_y,PCI,RSRP
65,9,54,-85.8
65,9,54,-84.7
65,9,54,-84.9
82,21,3,-74
82,21,3,-71.9
82,21,3,-74.7
82,21,3,-73.9
82,21,3,-73.3
82,21,3,-74.1
82,21,3,-73.1
82,21,3,-72.8
82,21,3,-73.8
82,21,3,-71.8
82,21,3,-73
82,21,3,-72.8
82,21,3,-70
82,21,3,-73.7
61,5,54,-86.2
61,5,54,-86.1
61,5,54,-84.2
61,5,54,-88.6
58,7,54,-104.6
58,7,54,-104.6
58,7,54,-105.9
40,4,1,-106.1
40,4,1,-108.4
40,4,1,-103.6
40,4,1,-106.3
40,4,1,-103.9
90,21,3,-82
90,21,3,-81.4
90,21,3,-87.1
90,21,3,-87.4
78,12,3,-86.8
78,12,3,-86.5
78,12,3,-87.5
78,12,3,-89.7
78,12,3,-87.6
78,12,3,-88.2
78,12,3,-89.1
78,12,3,-89.3
78,12,3,-90.9
78,12,3,-89.7
78,12,3,-89.4
81,7,54,-99.4
81,7,54,-96.9
81,7,54,-96.8
81,7,54,-98.4
81,7,54,-98.3
36,24,2,-100.4
36,24,2,-101.2
36,24,2,-98.5
36,24,2,-99.7
36,24,2,-103
36,4,1,-102.6
36,4,1,-100.6
80,11,3,-88
80,11,3,-86.3
80,11,3,-83.2
80,11,3,-86
80,11,3,-86.9
80,11,3,-87.9
80,11,3,-88.1
80,11,3,-87.2
80,11,3,-84.5
49,16,2,-73.9
49,16,2,-72.9
49,16,2,-72.9
76,2,54,-94.3
76,2,54,-92.8
76,2,54,-89.5
76,2,54,-90.1
76,2,54,-93.2
20,10,1,-81.5
20,10,1,-78.5
20,10,1,-78.3
20,10,1,-80.6
63,8,54,-73.4
63,8,54,-72.4
63,8,54,-74.8
63,8,54,-83.9
45,25,2,-84.3
45,25,2,-87.5
45,25,2,-86.5
45,25,2,-89.2
45,25,2,-85.3
45,25,2,-91.8
70,16,3,-89.7
70,16,3,-92.7
70,16,3,-91.5
82,18,3,-66.1
82,18,3,-62.1
82,18,3,-65.9
82,18,3,-66.7
82,18,3,-68.9
82,18,3,-68
82,18,3,-66.8
82,18,3,-65.7
82,18,3,-66.5
82,18,3,-65.3
82,18,3,-65.6
82,18,3,-65.4
82,18,3,-68.4
82,18,3,-69.6
82,18,3,-70.2
82,18,3,-69.3
82,18,3,-66.8
82,18,3,-66.1
65,7,54,-84.4
65,7,54,-95.6
65,7,54,-95.9
65,7,54,-87
65,7,54,-85.5
96,10,54,-105.9
96,10,54,-103.1
96,10,54,-103.9
96,10,54,-106.4
15,9,1,-90.4
15,9,1,-87.6
15,9,1,-92.8
15,9,1,-90.6
76,20,3,-83.9
76,20,3,-83.5
76,20,3,-83.6
76,20,3,-82.6
76,20,3,-83.3
76,20,3,-84.3
76,20,3,-85.7
76,20,3,-86.4
76,20,3,-85
68,7,54,-80.9
68,7,54,-80.5
68,7,54,-80.6
68,7,54,-81.6
68,7,54,-80.8
76,14,54,-90.4
76,14,54,-89.3
76,14,54,-93
81,19,3,-76.9
81,19,3,-72.8
81,19,3,-69.9
81,19,3,-73.4
81,19,3,-72.6
81,19,3,-70.7
81,19,3,-71.8
81,19,3,-69.6
81,19,3,-70.4
81,19,3,-70.7
81,19,3,-69.9
81,19,3,-72.8
57,9,54,-97.9
57,9,54,-98.8
57,9,54,-98.8
88,13,3,-85.4
88,13,3,-82.9
88,13,3,-82.5
88,13,3,-82.1
88,13,3,-81.9
88,13,3,-81.9
88,13,3,-79.6
88,13,3,-78.8
88,13,3,-78.7
88,13,3,-78.4
88,13,3,-79.2
88,13,3,-80.3
88,13,3,-84.4
88,13,3,-84.7
88,13,3,-85.8
88,13,3,-86.8
88,13,3,-86.6
88,13,3,-84.8
88,13,3,-83.6
88,13,3,-83.9
88,13,3,-84.4
88,13,3,-87.5
88,13,3,-90.4
74,8,54,-79.7
74,8,54,-77.8
74,8,54,-74.6
74,8,54,-79.6
74,8,54,-76.9
94,10,54,-101.3
94,10,54,-103.9
94,10,54,-105.2
